date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-10-21,4914.74,4946.18,4928.02,4893.85,1488981.5,17.84,0.36,4913.562,4917.15,4884.419,1419530.05,1461023.89,1710963.37
2021-10-20,4926.77,4944.02,4910.18,4898.37,1415331.88,-12.54,-0.26,4910.68,4910.986,4883.876,1360847.78,1458239.64,1759309.49
2021-10-19,4869.39,4928.14,4922.72,4868.81,1352664.88,47.94,0.98,4916.666,4903.361,4887.95,1340067.02,1504877.81,1813500.55
2021-10-18,4922.51,4922.51,4874.78,4844.94,1412452.0,-57.33,-1.16,4908.89,4899.472,4892.49,1405692.72,1546502.2,1890019.48
2021-10-15,4896.56,4939.82,4932.11,4881.01,1428220.0,18.5,0.38,4921.172,4899.731,4897.251,1450225.57,1621224.02,1947661.99
2021-10-14,4934.26,4953.92,4913.61,4903.25,1195570.12,-26.5,-0.54,4920.738,4891.463,4899.252,1502517.72,1686095.31,2008558.66
2021-10-13,4880.14,4953.37,4940.11,4869.83,1311428.12,56.27,1.15,4911.292,4885.422,4903.213,1555631.5,1794689.38,2070869.41
2021-10-12,4920.66,4925.49,4883.84,4840.77,1680793.38,-52.35,-1.06,4890.056,4873.588,4902.894,1669688.6,1854766.94,2125551.63
2021-10-11,4941.29,4983.73,4936.19,4930.71,1635116.25,6.25,0.13,4890.054,4870.798,4900.855,1687311.67,1888645.73,2175557.91
2021-10-08,4915.73,4937.09,4929.94,4891.62,1689680.75,63.56,1.31,4878.29,4857.949,4897.516,1792222.47,1941886.2,2227731.11
2021-09-30,4843.95,4876.07,4866.38,4843.95,1461139.0,32.45,0.67,4862.188,4851.687,4894.492,1869672.9,1960902.85,2306607.61
2021-09-29,4846.02,4868.07,4833.93,4799.88,1881713.62,-49.9,-1.02,4859.552,4856.765,4891.454,2033747.25,2060379.35,2351109.99
2021-09-28,4869.08,4901.31,4883.83,4846.63,1768908.75,6.46,0.13,4857.12,4872.538,4890.421,2039845.28,2122123.29,2366842.18
2021-09-27,4870.85,4922.56,4877.37,4852.2,2159670.25,27.94,0.58,4851.542,4885.507,4887.581,2089979.78,2233536.76,2370051.85
2021-09-24,4845.64,4897.06,4849.43,4838.54,2076932.88,-3.77,-0.08,4837.608,4894.771,4883.793,2091549.93,2274099.96,2360877.03
2021-09-23,4848.22,4877.34,4853.2,4837.56,2281510.75,31.43,0.65,4841.186,4907.041,4886.23,2052132.8,2331022.0,2351754.39
2021-09-22,4770.73,4830.85,4821.77,4765.23,1912203.75,-34.17,-0.7,4853.978,4921.004,4887.989,2087011.45,2347049.45,2336620.44
2021-09-17,4797.11,4857.96,4855.94,4786.09,2019581.25,48.24,1.0,4887.956,4932.2,4888.695,2204401.3,2396336.33,2324799.79
2021-09-16,4866.79,4879.53,4807.7,4806.14,2167521.0,-59.62,-1.23,4919.472,4930.912,4884.361,2377093.75,2462470.1,2312638.64
